index,rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
55,56,sc19,AI400,no,-1.0,DDN,DDN,11/10/2019,None,Lustre,2.12.58,10,240,24,CentOS,8.0.1905,4.18.0-80.el8.x86_64,2.0,0.0,64,NAND,NVMe,IB-EDR,2.0,12.0,24.0,64,NAND,NVMe,0.15,3.6,IB,28.62,41.72,2.96,42.19,152.84,451.97,132.76,79.65,172.59,449.93,75.15,810.42,159.38,19.65,207.63,63.88
47,48,isc20,AI400X,no,-1.0,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.53,10,160,16,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0.0,-1.0,-1,None,None,None,2.0,10.0,20.0,86016,NAND,NVMe,0.15,3.0,IB-EDR,37.56,45.95,2.77,40.81,157.22,453.51,135.09,90.47,169.0,446.75,76.94,1698.37,175.83,21.01,232.7,69.92
30,31,isc20,AI400X,no,-1.0,DDN,DDN,7/13/2020,6/30/2020,Lustre,2.13.54,40,1280,32,CentOS,8.1.1911,4.18.0-147.8.1.el8_1.x86_64,0.0,-1.0,-1,None,None,None,4.0,10.0,40.0,86016,NAND,NVMe,0.15,6.0,IB-EDR,73.57,88.89,10.19,72.23,378.84,1069.15,237.28,131.45,350.85,1108.62,99.59,1361.85,330.1,46.84,400.84,137.03
68,69,sc19,Aspire 1,no,-1.0,"National Supercomputing Centre, Singapore",DDN,10/10/2019,None,IME,None,10,160,16,CentOS,6.1,None,-1.0,-1.0,-1,None,None,None,-1.0,-1.0,-1.0,-1,None,None,-1.0,-1.0,None,95.8,107.8,100.03,103.75,61.59,21.73,13.46,20.14,6.29,10.76,91.62,5.37,54.42,101.75,18.21,43.04
86,87,sc19,BEAR-AI,no,-1.0,University of Birmingham,DDN,11/10/2019,4/1/2019,Spectrum Scale,5.0.3.3,10,80,8,Red Hat Enterprise Linux,7.6,4.14.0-115.7.1.el7a.ppc64le,0.0,-1.0,-1,None,None,None,4.0,20.0,80.0,96,NAND,NVMe,0.15,12.0,IB,8.88,24.89,0.54,0.47,103.11,188.93,51.04,23.01,124.97,188.01,11.72,496.59,46.09,2.74,86.48,15.39
83,84,isc20,Cedar,no,-1.0,Simon Fraser University,Dell/Seagate,7/13/2020,6/1/2017,Lustre,2.12.4,288,288,1,CentOS,7.7.1908,3.10.0-1062.12.1.el7.x86_64,2.0,1.0,128,NAND,SAS,Omnipath,12.0,4.0,48.0,128,HDD,SAS,0.02,0.96,Omnipath,31.82,40.18,0.51,5.25,13.8,90.03,31.76,14.39,30.37,43.65,29.41,866.52,42.48,7.66,45.75,18.72
18,19,sc19,DGX-2H SuperPOD,no,-1.0,NVIDIA,DDN,11/12/2019,5-Nov,Lustre,5,10,400,40,NVIDIA DGX-OS,4.02,4.15.0-50-generic,10.0,2.0,94208,NAND,NVMe,IB-EDR,10.0,21.0,210.0,192,NAND,NVMe,0.15,31.5,IB-EDR,273.16,286.17,11.16,65.59,799.58,2000.81,485.87,446.27,472.52,881.03,584.58,815.97,597.16,86.97,715.76,249.5
33,34,isc20,DIME,no,-1.0,DDN,DDN,7/13/2020,1/3/2018,IME,1.4,10,110,11,CentOS,7.7.1908,3.1,2.0,13.0,-1,NAND,NVMe,IB-EDR,6.0,18.0,108.0,221184,NAND,NVMe,0.15,16.2,IB-EDR,103.14,97.75,105.4,95.49,159.5,354.26,110.08,24.48,195.46,55.68,21.6,3322.34,207.29,100.37,136.27,116.95
57,58,sc19,Data Accelerator,no,-1.0,University of Cambridge,Dell EMC,11/10/2019,5/1/2018,Lustre,2.13 (tip of master branch as of running),10,320,32,CentOS,7.7.1908,3.10.0-957.10.1.el7.x86_64,24.0,1.0,192,NAND,NVMe,Omnipath,24.0,12.0,288.0,192,NAND,NVMe,0.15,43.2,Omnipath,142.4,106.33,3.18,4.62,435.7,1184.27,129.62,29.81,59.01,65.4,10.74,7348.56,142.59,21.73,167.09,60.25
19,20,sc19,Data Accelerator,no,-1.0,University of Cambridge,Dell EMC,11/10/2019,5/1/2018,Lustre,2.13 (tip of master branch as of running),128,2048,16,CentOS,7.7.1908,3.10.0-957.10.1.el7.x86_64,24.0,1.0,192,NAND,NVMe,Omnipath,24.0,12.0,288.0,192,NAND,NVMe,0.15,43.2,Omnipath,341.24,383.01,14.14,160.55,1679.63,402.08,715.5,274.07,466.83,35.93,106.3,2839.21,465.59,131.25,401.13,229.45
