information__is_cloud,information_net_ds_storage_devices,information__client_nodes,information__client_total_procs,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy
no,48,10,310,108.31,185.12,93.18,126.12,2615.89,2856.7,1880.53,1273.79,1897.29,2829.32,1869.05,2565.53
no,96,10,380,133.28,131.95,80.92,59.19,3315.18,3403.63,1916.96,725.92,1575.54,2900.14,1822.73,2177.51
no,96,10,380,134.05,124.52,66.59,57.37,3088.11,3087.05,1786.92,756.78,1476.13,2635.54,1386.67,1415.44
no,56,10,280,64.15,71.44,3.45,24.06,1880.28,1841.93,981.05,187.32,547.29,1773.11,299.22,3136.93
no,56,10,280,63.3,71.97,3.31,25.55,1897.67,1940.82,999.77,143.74,544.19,1730.11,279.78,3146.1
no,38,10,260,38.7,64.1,9.92,35.73,277.09,1355.07,647.3,209.1,438.04,1245.93,532.29,4684.31
no,38,10,260,35.93,64.42,9.15,33.38,316.99,1344.21,643.98,224.26,351.72,1237.39,552.9,6038.83
no,66,10,240,67.81,38.39,3.49,23.39,1733.37,1718.61,891.28,194.59,496.41,1625.07,313.65,608.03
no,200,10,160,63.11,22.49,2.87,4.46,1462.02,1454.74,782.98,249.1,284.09,1493.59,273.36,3542.87
no,200,10,160,48.84,22.81,2.88,4.5,1493.89,1433.29,790.06,246.26,286.47,1439.66,270.7,3187.15
no,192,10,300,105.1,97.26,6.43,43.56,478.03,2621.06,762.01,8.47,26.92,121.68,11.87,1809.67
no,20,10,200,33.18,10.96,6.19,14.99,268.01,1084.31,199,179.91,241.76,909.83,258.9,3110.12
no,20,10,160,37.56,45.95,2.77,40.81,157.22,453.51,135.09,90.47,169,446.75,76.94,1698.37
no,216,10,160,111.55,92.99,2.11,59.47,152.16,921.71,230.53,11.03,38.05,130.82,18.78,2789.71
no,20,10,200,25.72,9.58,4.48,15.33,195.2,943.16,163.99,157.2,236.34,889.57,217.29,1268.88
no,24,10,240,28.62,41.72,2.96,42.19,152.84,451.97,132.76,79.65,172.59,449.93,75.15,810.42
no,20,10,160,36.72,45.5,2.57,23.34,150.4,451.93,140.7,87.25,155.17,457.3,73.09,1747.95
no,288,10,320,142.4,106.33,3.18,4.62,435.7,1184.27,129.62,29.81,59.01,65.4,10.74,7348.56
yes,80,10,320,36.26,75.62,9.14,19.08,191.98,903.11,123.45,17.19,87.51,97.4,18.81,965.79
yes,80,10,320,30.76,55.01,11.91,21.55,189.58,917.71,121.26,20.63,68.94,119.17,11.52,938.67
no,572,10,160,185.44,107.45,6.62,11.46,108.73,49.66,212.8,20.3,22.14,49.67,25.29,2305.16
no,572,10,160,172.24,96.01,5.21,13.27,117.84,49.65,180.85,20.08,21.89,49.42,25.42,2042.91
no,#N/A,10,160,95.8,107.8,100.03,103.75,61.59,21.73,13.46,20.14,6.29,10.76,91.62,5.37
no,72,10,320,30.96,57.52,1.76,31.46,156.84,1681.39,120.22,7.85,25.48,107.33,7.33,772.36
yes,100,10,160,26.06,27.22,3,18.18,163.2,720.73,327.7,3.02,17.66,61.23,9.61,987
yes,100,10,160,25.94,29.07,1.55,9.95,175.09,685.32,188.63,3.02,19.88,64.08,8.31,1139.15
no,96,10,240,25.01,23.23,0.56,2.29,84.52,354.37,52.55,20.93,40.98,34.23,12.39,475.48
no,40,10,220,12.66,7.42,2.53,12.2,21.39,93.87,18.17,8.84,28.06,103.75,5.63,280.43
no,40,10,220,12.88,6.78,2.32,12.13,26.72,79.74,20.79,10,27.65,83.66,5.75,273.59
no,40,10,200,12.63,6.85,2.5,11.43,20.85,69.34,20.87,9.27,27.23,89.19,6.18,275.88
no,40,10,200,12.33,6.94,2.4,11.37,21.66,72.11,17.68,10.04,25.3,80.11,6.24,211.43
no,176,10,240,7.15,7.83,0.23,0.98,15.43,185.7,20.64,8.42,46.75,60.05,15.32,914.54
no,108,10,160,3.66,6.68,0.42,0.71,13.11,129.69,12.34,11.73,19.32,41.74,7.74,459.78
no,40,10,240,16.89,14.55,0.08,1.56,0.17,13.59,21.99,0.17,5.28,15.36,8.11,12.28
