information__client_nodes,information__ds_storage_type,information__ds_storage_interface,information_net_ds_storage_devices,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
200,HDD,SAS/SATA,100,0.02,2,38.68,82.5,8.47,3.32,167.63,583.86,91.02,105.95,77.63,197.42,51.28,641.47,129.52,17.31,162.06,52.96
288,HDD,SAS/SATA,48,0.02,0.96,31.82,40.18,0.51,5.25,13.8,90.03,31.76,14.39,30.37,43.65,29.41,866.52,42.48,7.66,45.75,18.72
8,HDD,SAS/SATA,84,0.02,1.68,9.38,10.08,0.77,1.15,81.88,222.3,58.88,8.36,21.41,23.26,8.44,1130.61,33.31,3.03,50.54,12.37
8,HDD,SAS/SATA,84,0.02,1.68,9.29,10.16,0.81,1.12,66.97,222.53,55.62,12.48,21.72,23.21,9.07,196.4,29.4,3.04,41.78,11.28
10,HDD,SAS/SATA,40,0.02,0.8,16.89,14.55,0.08,1.56,0.17,13.59,21.99,0.17,5.28,15.36,8.11,12.28,5.64,2.32,4.02,3.06
52,3DXP,DIMM,60,10,600,243.64,575.59,261.22,520.92,12326.3,11928.8,6897.99,5646.53,8620.14,10723.2,6695.91,8838.37,5103.14,371.67,8649.57,1792.98
52,3DXP,DIMM,60,10,600,244.31,576.15,267.58,489.25,11977.14,8189.87,5496.88,5470.99,7472,7910.95,5396.35,6637.83,4448.46,368.44,7070.51,1614.02
26,3DXP,DIMM,48,10,480,108.24,308.91,122.91,275.09,6003.6,7237,4556.56,2417.72,4067.59,6870.7,4551.32,4283.79,2705.53,183.36,4753.79,933.64
10,3DXP,DIMM,60,10,600,178.29,212.83,120.62,161.04,4828.03,4600.36,2795.34,2317.04,3231.39,4109.81,2768.94,4194.62,2126.15,164.77,3493.56,758.71
10,3DXP,DIMM,60,10,600,176.34,204.32,119.8,164.31,4707.23,4392.86,2745.02,2326.17,3164.63,3962.69,2801.64,3200.33,2049.53,163.19,3322.4,736.33
10,3DXP,DIMM,48,10,480,108.31,185.12,93.18,126.12,2615.89,2856.7,1880.53,1273.79,1897.29,2829.32,1869.05,2565.53,1399.89,123.89,2152.46,516.41
10,3DXP,NVMe,56,1.2,67.2,64.15,71.44,3.45,24.06,1880.28,1841.93,981.05,187.32,547.29,1773.11,299.22,3136.93,469.59,24.83,934.12,152.3
10,3DXP,NVMe,56,1.2,67.2,63.3,71.97,3.31,25.55,1897.67,1940.82,999.77,143.74,544.19,1730.11,279.78,3146.1,459.31,24.91,902.12,149.92
10,NAND,NVMe,38,0.15,5.7,38.7,64.1,9.92,35.73,277.09,1355.07,647.3,209.1,438.04,1245.93,532.29,4684.31,421.8,30.62,716.11,148.08
10,NAND,NVMe,38,0.15,5.7,35.93,64.42,9.15,33.38,316.99,1344.21,643.98,224.26,351.72,1237.39,552.9,6038.83,423.16,28.99,739.49,146.42
40,NAND,NVMe,40,0.15,6,73.57,88.89,10.19,72.23,378.84,1069.15,237.28,131.45,350.85,1108.62,99.59,1361.85,330.1,46.84,400.84,137.03
40,NAND,NVMe,40,0.15,6,73,91.25,5.15,80.15,355.8,1114.09,242.87,130.61,356.29,1100.21,91.94,1386.84,313.5,40.72,397.91,127.29
10,3DXP,NVMe,66,1.2,79.2,67.81,38.39,3.49,23.39,1733.37,1718.61,891.28,194.59,496.41,1625.07,313.65,608.03,379.1,21.47,728.68,125.08
50,NAND,NVMe,24,0.15,3.6,156.46,78.78,11.67,11.18,492.38,858.77,348.72,113.77,164.74,201.26,67.45,222.76,209.16,35.61,231.88,90.87
50,NAND,NVMe,24,0.15,3.6,136.6,80.59,10.93,14.39,471.97,816.14,354.22,72.41,170.79,205.48,66.86,204.18,200.72,36.28,215.97,88.51
10,NAND,NVMe,20,0.15,3,33.18,10.96,6.19,14.99,268.01,1084.31,199,179.91,241.76,909.83,258.9,3110.12,237.64,13.55,455.18,78.54
10,NAND,NVMe,20,0.15,3,37.56,45.95,2.77,40.81,157.22,453.51,135.09,90.47,169,446.75,76.94,1698.37,175.83,21.01,232.7,69.92
8,NAND,NVMe,64,0.15,9.6,57.47,70.8,11.61,14.13,174.64,719.13,131.73,10.4,132.62,417.7,28.7,1313.62,149.56,28.58,156.48,66.88
10,NAND,NVMe,20,0.15,3,25.72,9.58,4.48,15.33,195.2,943.16,163.99,157.2,236.34,889.57,217.29,1268.88,191.48,11.41,358.87,63.98
10,NAND,NVMe,24,0.15,3.6,28.62,41.72,2.96,42.19,152.84,451.97,132.76,79.65,172.59,449.93,75.15,810.42,159.38,19.65,207.63,63.88
10,NAND,NVMe,20,0.15,3,36.72,45.5,2.57,23.34,150.4,451.93,140.7,87.25,155.17,457.3,73.09,1747.95,164.59,17.79,229.01,63.83
8,NAND,NVMe,64,0.15,9.6,57.87,70.89,11.32,14.08,108.68,501.63,116.08,9.87,139.25,127.89,36.33,1394.9,127.94,28.44,124.13,59.42
8,NAND,NVMe,64,0.15,9.6,58.45,68.43,10.76,13.61,187.38,726.51,136.79,16.95,76.12,77.55,23.62,671.71,120.13,27.67,114.5,56.28
